,Time,Tweet
0,2021-03-06 21:33:59+00:00,"@TommyPistol I have a friend who kept saying mankind could pull through a zombie apocalypse, particularly the walki… https://t.co/rCimoMqc6L"
1,2021-03-06 21:20:00+00:00,To help people become better prepared to withstand natural disasters and other unforeseen events — such as the COVI… https://t.co/F1Yb0y8q6l
2,2021-03-06 06:09:43+00:00,"I love how positively and seriously the tl is discussing about zombie apocalypse surviving. We all went after covid, anything is possible."
3,2021-03-06 04:28:09+00:00,"This one did it for me.

Took another call asking about COVID-15 (???), the zombie apocalypse, and how a he (who ad… https://t.co/Yrho6nd9YR"
4,2021-03-06 03:02:13+00:00,"Also if you are thirsty do not eat it will exhausturbate the dehydration if you have to eat avoid salty foods 

I'm… https://t.co/gbmMiBa7hg"
5,2021-03-06 01:59:49+00:00,What if there's going to be a zombie apocalypse and only those who got vaccinated will be immune. Covid-19 was just… https://t.co/W4DYq17VNT
6,2021-03-05 22:29:46+00:00,The cdc says that we should forget covid and prepare for a zombie apocalypse... is our world broken ?? Yes
7,2021-03-05 21:49:51+00:00,So they start giving out COVID vaccines without that much knowledge of the long term affects and now the CDC releas… https://t.co/JvW9xCxDXP
8,2021-03-05 19:44:49+00:00,"no bc lemme explain. since covid can reach animals, its gonna reach an animal with rabies, and the virus will mutat… https://t.co/AR8dtOSm5x"
9,2021-03-05 15:16:46+00:00,"RT @kellymnyc: If you thought the U.S. was caught with its proverbial pants down and unprepared for the Covid-19 coronavirus pandemic, imag…"
10,2021-03-05 14:43:41+00:00,Ima be PISSED If we have a zombie apocalypse and I’m a zombie because I got the 1st shot of the covid vaccine. Like… https://t.co/k7CHgMnyt2
11,2021-03-05 14:07:19+00:00,"RT @KiannaBanana: so the CDC is releasing information on how to survive a damn ZOMBIE APOCALYPSE???

was Covid just our tutorial and warm u…"
12,2021-03-05 14:00:24+00:00,The CDC recently updated its zombie preparedness section on its website. The update comes amid the coronavirus pand… https://t.co/J2PZXJ0tZp
13,2021-03-05 12:39:33+00:00,What’s crazy to me is it took the cdc how long to figure out wtf was going on what we should and shouldn’t do for C… https://t.co/JKe2vaq9OC
14,2021-03-05 12:21:07+00:00,If you thought the U.S. was caught with its proverbial pants down and unprepared for the Covid-19 coronavirus pande… https://t.co/zP7rMjcaFn
15,2021-03-05 12:16:27+00:00,"@PopCrave When I first heard about the CDC’s survival guide for the zombie apocalypse, I laughed. I was like, in th… https://t.co/jOKPuNU692"
16,2021-03-05 11:29:08+00:00,@taylor_madken15 Zombie Apocalypse is imminent once they have reached the specified no.of people that has taken the… https://t.co/iXUn13TFlL
17,2021-03-05 10:55:11+00:00,"so the CDC is releasing information on how to survive a damn ZOMBIE APOCALYPSE???

was Covid just our tutorial and… https://t.co/p9Qdvki3di"
18,2021-03-05 09:23:30+00:00,all i gotta know is where pack-a-punch and jug will be located during the zombie apocalypse @CDCgov #covid
19,2021-03-05 08:24:57+00:00,@patrici47462841 @jondavies74 @RealAlternat_ve @knitter21045 @GovAbbott LMAO last year CDC released Covid warning a… https://t.co/uxTbzgZ3VF
20,2021-03-05 06:13:29+00:00,"After Covid -19 episodes and Vaccination trends, chances are there that we will be talking about Zombie Apocalypse… https://t.co/sZqxvdmWY3"
21,2021-03-05 02:15:02+00:00,RT @ayomidejishaw: Don’t know what’s happening but I read @Mochievous COVID-19 vaccine experience and now I’m seeing that the CDC is talkin…
22,2021-03-05 02:09:26+00:00,Don’t know what’s happening but I read @Mochievous COVID-19 vaccine experience and now I’m seeing that the CDC is t… https://t.co/ROSzcTAcun
23,2021-03-05 01:32:09+00:00,"@_mickydicky @Valleysword2k @Abaven95 @HaggsBoson @aaronptutt @GovAbbott Random question, if this was the zombie ap… https://t.co/ZHzIOZqZaS"
24,2021-03-04 20:16:38+00:00,they know someone and they aren’t telling us but why are we worrying about a non-existent zombie apocalypse but not… https://t.co/Whd0T26ykw
25,2021-03-04 20:09:39+00:00,when I first heard of covid before it got to the us I had a discussion about what we would do if it came here as if… https://t.co/As8pMdcQMn
26,2021-03-04 19:44:30+00:00,I took a class where theoretically we looked at the possibility of a zombie apocalypse and what would need to be do… https://t.co/mTu2mrkZ5q
27,2021-03-04 19:38:48+00:00,the CDC used it as a way to apply to real disasters as they will follow the same measures and one can learn through… https://t.co/ZjbVx7RRO1
28,2021-03-04 19:29:34+00:00,@selenastan18 @PopCrave And how the world has dealt with covid is a good reflection of how a zombie apocalypse woul… https://t.co/JNfqC8QiQL
29,2021-03-04 18:59:38+00:00,RT @ToniMac00: So people are getting covid-19 vaccinations and the CDC just happens to release an article about how to survive a zombie apo…
30,2021-03-04 17:56:11+00:00,RT @ToniMac00: So people are getting covid-19 vaccinations and the CDC just happens to release an article about how to survive a zombie apo…
31,2021-03-04 17:32:57+00:00,So people are getting covid-19 vaccinations and the CDC just happens to release an article about how to survive a z… https://t.co/PqCbjTMMRF
32,2021-03-04 17:17:36+00:00,RT @DeadZombie_girl: According to the news Nostradamus predicted a zombie apocalypse to happen in 2021 and CDC has put guidelines in place…
33,2021-03-04 17:10:51+00:00,According to the news Nostradamus predicted a zombie apocalypse to happen in 2021 and CDC has put guidelines in pla… https://t.co/3gAyATcNY2
34,2021-03-04 16:27:25+00:00,I find it funny how everyone is freaking out about the CDC having zombie apocalypse guides but its been on there fo… https://t.co/ZMLsUzM07V
