,Time,Tweet
0,2021-03-30 20:14:14+00:00,"@adampv44 @notslimpug @lucinelupita2 @ComicDaveSmith After much thought, I decided that if this is the vaccine that… https://t.co/IsOU9VOqjZ"
1,2021-03-30 16:07:31+00:00,@DialloKreed @Zozozoex @cruddydre_ I swear the zombie apocalypse could happen and they could release a vaccine for… https://t.co/QytYQFzJV4
2,2021-03-30 14:45:32+00:00,You could insert these vaccine news bits into any zombie apocalypse movie and then they would fit just fine but I d… https://t.co/TGmP0soi0A
3,2021-03-30 04:16:47+00:00,@resistnow51 @harrylitman A free America is dead isn't it.  You idiots act like this is the fucking zombie apocalyp… https://t.co/kIMWotGEem
4,2021-03-30 03:57:46+00:00,@ShekinahCanCook @DrZuhdiJasser OMG... the zombie apocalypse is coming.... guess you fell right into the success co… https://t.co/TVvOdeMI2t
5,2021-03-30 02:53:30+00:00,@Kimin55686484 @J_M_Crypto @lakelady The Covid vaccine is not approved by the FDA and hold no responsibility in sid… https://t.co/GtLqEiywGJ
6,2021-03-30 02:27:00+00:00,"I've seen all the research about the minimal side effects and effectiveness of the vaccine, but I need a scientist… https://t.co/Y5R0BRIH5T"
7,2021-03-30 01:18:44+00:00,I’m reading comments and it’s already the walking dead. People are on board with those vaccine passports. This is t… https://t.co/WtvnKhPVJZ
8,2021-03-30 01:00:11+00:00,"Now why would someone send my mom a video talking about the vaccine containing aborted baby cells, alien cells, an… https://t.co/zTo6MCu9FZ"
9,2021-03-30 00:22:38+00:00,"RT @ashrpash: waiting to get my second covid vaccine in an hour or so and reading a post on a mommy forum about how in 6 months, everyone w…"
10,2021-03-30 00:11:28+00:00,Imagine the zombie apocalypse is about to happen and everyone who DIDNT get the COVID vaccine will be immune to the… https://t.co/u29tusFrzo
11,2021-03-29 18:19:40+00:00,"""Vaccine passports""... Yeah this is the end times... And not even on some antivax shit it's giving zombie apocalypse"
12,2021-03-29 17:17:49+00:00,"waiting to get my second covid vaccine in an hour or so and reading a post on a mommy forum about how in 6 months,… https://t.co/VhRTfiUrXd"
13,2021-03-29 12:52:42+00:00,"@bette_oh I will get the vaccine, but when I feel it has been fully tested and we actually know what the side effec… https://t.co/pLsyEADnUp"
14,2021-03-29 10:10:38+00:00,"RT @UniversUltra: @GretaThunberg If we ever have a zombie apocalypse and are lucky enough to find a vaccine, I'm pretty sure the protecting…"
15,2021-03-28 22:28:05+00:00,"RT @UniversUltra: @GretaThunberg If we ever have a zombie apocalypse and are lucky enough to find a vaccine, I'm pretty sure the protecting…"
16,2021-03-28 17:44:55+00:00,"@GretaThunberg If we ever have a zombie apocalypse and are lucky enough to find a vaccine, I'm pretty sure the prot… https://t.co/vuvI1kMN1Q"
17,2021-03-28 04:50:54+00:00,RT @tayttt90: I think the argument of the vaccine turning you into a zombie is funny bc you think I want to fight zombies in an apocalypse?…
18,2021-03-28 02:25:24+00:00,I’m not getting the vaccine cause I honestly feel like everybody who got it is going to turn into zombies. Then the… https://t.co/1ZaS93SBef
